GEODGHR4,GEODGHR4_LABEL,GEODGHR4_NDVI_LABEL,GEODGHR4_NDVI_LABELS,CASES,WEIGHTED,PERCENTAGE
10911,Eastern Regional,,"St. John's, Newfoundland and Labrador",1213,281347.3,0.90%
10912,Central Regional,,"St. John's, Newfoundland and Labrador",795,81074.2,0.30%
11900,Prince Edward Island,,"Charlottetown, Prince Edward Island;Cornwall, Prince Edward Island;Kensington, Prince Edward Island;Montague, Prince Edward Island;Summerside, Prince Edward Island",1928,129507.1,0.40%
12901,Zone 1 - Western,,,1147,173044.1,0.60%
12902,Zone 2 - Northern,,,1004,126715.4,0.40%
12903,Zone 3 - Eastern,,,1112,133558,0.40%
12904,Zone 4 - Central,,,1548,388458.2,1.20%
13901,Zone 1 (Moncton area),"Moncton, New Brunswick","Moncton, New Brunswick",713,184568.5,0.60%
13902,Zone 2 (Saint John area),"Saint John, New Brunswick","Saint John, New Brunswick",661,149850,0.50%
13903,Zone 3 (Fredericton area),"Fredericton, New Brunswick","Fredericton, New Brunswick",629,147728,0.50%
24901,Bas-Saint-Laurent,,"Rimouski, Quebec;Rivière-du-Loup, Quebec;Matane, Quebec;Mont-Joli, Quebec;Amqui, Quebec;La Pocatière, Quebec",1149,173858.1,0.60%
24902,Saguenay - Lac-Saint-Jean,,"Alma, Quebec;Dolbeau, Quebec;Métabetchouan, Quebec;Normandin, Quebec;Roberval, Quebec;Saint-Ambroise, Quebec;Saint-Bruno, Quebec;Saint-Félicien, Quebec;Saint-Honoré, Quebec;Saint-Prime, Quebec",1430,239350.9,0.80%
24903,Capitale-Nationale,,"Québec, Quebec;Sainte-Brigitte-de-Laval, Quebec;Sainte-Catherine-de-la-Jacques-Cartier, Quebec;Saint-Raymond, Quebec;Shannon, Quebec;Stoneham, Quebec",1881,642264.3,2.10%
24904,Mauricie et du Centre-du-Quebec,,"Daveluyville, Quebec;Drummondville, Quebec;Nicolet, Quebec;Victoriaville, Quebec;Plessisville, Quebec;Saint-Cyrille-de-Wendover, Quebec;Saint-Léonard-d'Aston, Quebec;La Tuque, Quebec;Louiseville, Quebec;Maskinongé, Quebec;Notre-Dame-du-Mont-Carmel, Quebec;Saint-Alexis-des-Monts, Quebec;Saint-Boniface, Quebec;Saint-Tite, Quebec;Sainte-Thècle, Quebec;Shawinigan, Quebec;Trois-Rivières, Quebec;Yamachiche, Quebec",1552,446173.3,1.40%
24905,L'Estrie,,"Coaticook, Quebec;Sherbrooke, Quebec;Magog, Quebec;Granby, Quebec;Cowansville, Quebec;Bromont, Quebec;Farnham, Quebec;Lac-Mégantic, Quebec;Cookshire, Quebec;Windsor, Quebec;Waterloo, Quebec;Roxton Pond, Quebec;Danville, Quebec;East Angus, Quebec",1437,419199.5,1.30%
24906,Region de Montreal,"Montréal, Quebec","Montréal, Quebec",3042,1748704.9,5.60%
24907,L'Outaouais,,"Papineauville, Quebec;Ottawa - Gatineau, Quebec;Thurso, Quebec;Saint-André-Avellin, Quebec;L'Ange-Gardien, Quebec;Maniwaki, Quebec",1470,334446.1,1.10%
24908,L'Abitibi-Temiscamingue,,"Amos, Quebec;Barraute, Quebec;La Sarre, Quebec;Lac-Simon, Quebec;Macamic, Quebec;Malartic, Quebec;Rouyn-Noranda, Quebec;Senneterre, Quebec;Témiscaming, Quebec;Val-d'Or, Quebec;Ville-Marie, Quebec",1204,123898.3,0.40%
24909,Cote-Nord,,"Baie-Comeau, Quebec;Fermont, Quebec;Forestville, Quebec;Havre-Saint-Pierre, Quebec;Port-Cartier, Quebec;Sept-Îles, Quebec",1068,70719.2,0.20%
24911,Gaspesie - Iles-de-la-Madeleine,,"Chandler, Quebec;Gaspé, Quebec;Grande-Rivière, Quebec;New Richmond, Quebec;Sainte-Anne-des-Monts, Quebec",1141,79371.7,0.30%
24912,Chaudiere-Appalaches,,"Beauceville, Quebec;Lac-Etchemin, Quebec;Montmagny, Quebec;Saint-Agapit, Quebec;Saint-Anselme, Quebec;Saint-Apollinaire, Quebec;Saint-Georges, Quebec;Saint-Joseph-de-Beauce, Quebec;Sainte-Marie, Quebec;Thetford Mines, Quebec",1494,366970.8,1.20%
24913,Region de Laval,,,1536,374103.2,1.20%
24914,Region de Lanaudière,,"Berthierville, Quebec;Joliette, Quebec;L'Assomption, Quebec;Rawdon, Quebec;Sainte-Julienne, Quebec;L'épiphanie, Quebec;Lavaltrie, Quebec;Saint-Félix-de-Valois, Quebec",1589,435162.5,1.40%
24915,Region des Laurentides,,"Lachute, Quebec;Mont-Laurier, Quebec;Saint-Jérôme, Quebec;Sainte-Anne-des-Plaines, Quebec",1698,528455.5,1.70%
24916,Monteregie,,"Acton Vale, Quebec;Saint-Jean-sur-Richelieu, Quebec;Saint-Hyacinthe, Quebec;Verchères, Quebec;Sorel, Quebec;Marieville, Quebec;Huntingdon, Quebec;Napierville, Quebec;Beloeil, Quebec;Châteauguay, Quebec;Saint-Bruno, Quebec;Ville Lambert, Quebec;Salaberry-de-Valleyfield, Quebec;Varennes, Quebec",2434,1190482.5,3.80%
35926,The District of Algoma HU,,"Sault Ste. Marie, Ontario;Thessalon, Ontario;Blind River, Ontario;Elliot Lake, Ontario",782,97849,0.30%
35927,Brant County HU,,"Brantford, Ontario",663,120182.1,0.40%
35930,Durham Regional HU,,"Oshawa, Ontario;Bowmanville, Ontario;Orono, Ontario;Port Perry, Ontario;Uxbridge, Ontario;Cannington, Ontario",1280,587038.3,1.90%
35931,Elgin-St Thomas HU,,"St. Thomas, Ontario",633,78914.2,0.30%
35933,Grey Bruce HU,,"Owen Sound, Ontario;Wiarton, Ontario",770,145201,0.50%
35934,Haldimand-Norfolk HU,,"Dunnville, Ontario",692,99089.8,0.30%
35935,Haliburton Kawartha Pine Ridge District HU,,"Haliburton Village, Ontario",750,165295.8,0.50%
35936,Halton Regional HU,,"Milton, Ontario",1177,493262,1.60%
35937,City of Hamilton HU,"Hamilton, Ontario","Hamilton, Ontario",1226,490692.4,1.60%
35938,Hastings and Prince Edward Counties HU,,"Madoc, Ontario;Tweed, Ontario;Belleville, Ontario;Deseronto, Ontario",786,141719.7,0.50%
35940,Chatham-Kent HU,"Chatham, Ontario","Chatham, Ontario",645,91132.2,0.30%
35941,Kingston Frontenac and Lennox and Addington HU,"Kingston, Ontario","Kingston, Ontario",880,175421.4,0.60%
35942,Lambton HU,,"Forest, Ontario;Sarnia, Ontario;Wyoming, Ontario;Petrolia, Ontario;Watford, Ontario",716,110339.7,0.40%
35943,Leeds Grenville and Lanark District HU,,"Brockville, Ontario;Smiths Falls, Ontario",835,152060.6,0.50%
