,REF_DATE,GEODGHR4_NDVI_LABEL,DGUID,Population centre size,Urban greenness,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,NDVI,STATUS,SYMBOL,TERMINATED,DECIMALS
36361,2018,"Bay Roberts, Newfoundland and Labrador",2016S05100046,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005739,1.3.2,0.729,,,,4
36363,2018,"Bishop's Falls, Newfoundland and Labrador",2016S05100072,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005741,2.3.2,0.7339,,,,4
36365,2018,"Bonavista, Newfoundland and Labrador",2016S05100082,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005743,3.3.2,0.721,,,,4
36367,2018,"Botwood, Newfoundland and Labrador",2016S05100084,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005745,4.3.2,0.6782,,,,4
36369,2018,"Burgeo, Newfoundland and Labrador",2016S05100107,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005747,5.3.2,0.7362,,,,4
36371,2018,"Carbonear, Newfoundland and Labrador",2016S05100136,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005749,6.3.2,0.7643,,,,4
36373,2018,"Channel-Port aux Basques, Newfoundland and Labrador",2016S05100155,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005751,7.3.2,0.6814,,,,4
36375,2018,"Clarenville-Shoal Harbour, Newfoundland and Labrador",2016S05100182,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005753,8.3.2,0.6893,,,,4
36377,2018,"Corner Brook, Newfoundland and Labrador",2016S05100204,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005755,9.3.2,0.6684,,,,4
36379,2018,"Deer Lake, Newfoundland and Labrador",2016S05100219,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005757,10.3.2,0.6469,,,,4
36381,2018,"Fortune, Newfoundland and Labrador",2016S05100300,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005759,11.3.2,0.6136,,,,4
36383,2018,"Gander, Newfoundland and Labrador",2016S05100311,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005761,12.3.2,0.6168,,,,4
36385,2018,"Grand Bank, Newfoundland and Labrador",2016S05100329,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005763,13.3.2,0.6523,,,,4
36387,2018,"Grand Falls-Windsor, Newfoundland and Labrador",2016S05100332,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005765,14.3.2,0.6414,,,,4
36389,2018,"Happy Valley-Goose Bay, Newfoundland and Labrador",2016S05100354,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005767,15.3.2,0.5457,,,,4
36391,2018,"Humber Arm South, Newfoundland and Labrador",2016S05101285,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005769,16.3.2,0.784,,,,4
36393,2018,"Labrador City, Newfoundland and Labrador",2016S05100438,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005771,17.3.2,0.5437,,,,4
36395,2018,"Lewisporte, Newfoundland and Labrador",2016S05100469,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005773,18.3.2,0.6364,,,,4
36397,2018,"Marystown, Newfoundland and Labrador",2016S05100509,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005775,19.3.2,0.6854,,,,4
36399,2018,"Massey Drive, Newfoundland and Labrador",2016S05101444,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005777,20.3.2,0.703,,,,4
36401,2018,"Pasadena, Newfoundland and Labrador",2016S05101203,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005779,21.3.2,0.7018,,,,4
36403,2018,"Placentia, Newfoundland and Labrador",2016S05101575,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005781,22.3.2,0.7028,,,,4
36405,2018,"Springdale, Newfoundland and Labrador",2016S05100778,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005783,23.3.2,0.6566,,,,4
36407,2018,"St. Anthony, Newfoundland and Labrador",2016S05100786,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005785,24.3.2,0.7455,,,,4
36409,2018,"St. John's, Newfoundland and Labrador",2016S05100792,Large urban population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005787,25.1.2,0.6787,,,,4
36411,2018,"Stephenville, Newfoundland and Labrador",2016S05100888,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005789,26.3.2,0.7066,,,,4
36413,2018,"Upper Island Cove, Newfoundland and Labrador",2016S05101445,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005791,27.3.2,0.7645,,,,4
36415,2018,"Wabana, Newfoundland and Labrador",2016S05100994,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005793,28.3.2,0.8033,,,,4
36417,2018,"Charlottetown, Prince Edward Island",2016S05100159,Medium population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005795,29.2.2,0.6756,,,,4
36419,2018,"Cornwall, Prince Edward Island",2016S05101121,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005797,30.3.2,0.6969,,,,4
36421,2018,"Kensington, Prince Edward Island",2016S05100407,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005799,31.3.2,0.7127,,,,4
36423,2018,"Montague, Prince Edward Island",2016S05100544,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005801,32.3.2,0.6933,,,,4
36425,2018,"Summerside, Prince Edward Island",2016S05100905,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005803,33.3.2,0.6746,,,,4
36427,2018,"Amherst, Nova Scotia",2016S05100012,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005805,34.3.2,0.7064,,,,4
36429,2018,"Antigonish, Nova Scotia",2016S05100019,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005807,35.3.2,0.7058,,,,4
36431,2018,"Berwick, Nova Scotia",2016S05100069,Small population centre,Average normalized difference vegetation index (NDVI),Index,160,units,0,v1288005809,36.3.2,0.7528,,,,4
